header,contents,date
[오늘의 채용]6월8일 필기❌ 금융권/교직원/비서/대기업 영업팀 채용공고 뭉텅이 22개...,"10/대졸이상/정규직/장교전형-MD(패션,리빙),영업지원/일반-UX,IT/필기❌ 공기업/ 체험형 인턴 [공기업 경력 떠먹여드림]타이완 관광청 서울지역 단기 계약직 모집~6.14/경력무관/초대졸이상/중국어가능자/타이완 유경험자/번역,사무업무/서울 중구/여행,관광업 [공공기관 행정경력 떠먹여드림]...",2021. 6. 8.
"보문산 브런치, 아인슈페너, 방방",서울로 바뀌어있네요. 무슨 영화촬영을 하는 걸까요? 나중에 알게 되겠죠?? 예전에 #변호인 영화촬영을 했던 곳이라고 했었는데 단골장소인가봐요. 보문산 전망대 가기 대전에서 최단시간 등산을 할만한 산은 역시 보문산 인거 같아요. Previous image Next image 보문산 가는길 ~! 여행 가는 듯한...,2021. 9. 12.
가장 서울 같았던 곳에서의 하루,ㅋㅋㅋㅋ 집이나 가자 ㅎ Varisonc 비화림 그린마일커피 을지깐깐 #서울 #서울여행 #덕수궁 #독수궁탐험 #덕수궁돌담길 #창경궁 #창경궁대온실 # 광장시장 #광장시장누드김밥 #누드김밥 #서브웨이 #북촌한옥마을 #그린마을커피 #북촌 #을지로 #중구여행 #을지로3가 #을지깐깐 #일상 #일상블로그...,2021. 4. 19.
첫 종합여행업 등록증 발급완료,감사합니다. #여행업 #백신여권 #여행사설립 #여행업등록 #일반여행업 #국내여행업 #국외여행업 #여행업행정사 #서울여행업 #종로여행사 #중구여행사 #건대여행사 #여행업전문행정사 #종합여행업 #국내외여행업 #여행안내업 #여행사전문행정사 #여행사설립전문행정사 #외국인환자유치업 #의료관광,2021. 10. 8.
"여름을 준비하던 6월, 열심히 놀기",바쁘다 바빠 놀기에 바빠 요 날은 중구 여행 피크닉에 피크닉 저기 잔디 같은 것들이 너무 탐 나서 만들기로 결심 팔자 좋아용~ 뒤늦게 청산하는... 모아놓으니 뿌듯스하네요. 쇼룸 들려서 새로운 파우치 겟 서울을 떠나기 전 가고 싶었던 곳들 소원 풀이라고 할 수 있겠다.,2021. 8. 11.
서울여행기_01. 중구,"중구 여행에 대한 후기를 하자면, 그전에 가성비라고 하니 여행에 쓴 돈을 계산해 보자면 7000원이었다. 교통비랑 서울역 스무디킹. 첫 여행은 너무 만족스럽다. 체력적으로도 힘들지 않았고, 날씨도 좋았고. 앞서 말했듯이 정면으로도 위에서도 아래서도 도시를 바라볼 수 있었고 또 전시회를 보고....",2021. 3. 31.
경상남도 일반여행업 등록 및 외국인환자유치업 진행후기,감사합니다. #여행업 #백신여권 #여행사설립 #여행업등록 #일반여행업 #국내여행업 #국외여행업 #여행업행정사 #서울여행업 #종로여행사 #중구여행사 #건대여행사 #여행업전문행정사 #종합여행업 #국내외여행업 #여행안내업 #여행사전문행정사 #여행사설립전문행정사 #외국인환자유치업 #의료관광,2021. 9. 23.
"'개항장 박물관 투어'를 통해, 인천의 근현대사를 그대로 느껴봅니다","서울의 경복궁과 같은 역사명소와 같이 개화기 복장 등의 이색복식을 입고 오면 무료 입장도 가능합니다. 주변이 근대건축물로 둘러싸여 있어... 무엇보다 5개의 관람권이 매우 저렴하면서 어른, 아이 모두 지루하지 않게 관람할 수 있는 내용이 가득 담겨있으니 인천 중구 여행의 필수코스로...",2021. 6. 10.
[인천 가볼만한곳] 영종도 을왕리 해수욕장 그리고 조개구이,"인천 중구 여행 프롤로그 https://blog.naver.com/everlsk/221382838554 오래 간만에 드라이브 삼아 다녀왔었던 을왕리 해수욕장인데, 가는 날이 장날이라고... 서울에서 드라이브 삼아 갈만한 바닷가로 손에 꼽히는 을왕리 해수욕장인데, 동해나 남해 같은 멋진 바다는 아니지만 그래도 바다가 보고 싶을 때...",2021. 1. 14.
"[부산 중구 남포동, 영도 여행] 스탠포드인 부산-방탈출-성일집-키친 205 딸기케익...",저...연애합니당...헤헤 창원사람이라구 나 꼬셔놓고 경기도로 도망간!!사실 일하러 간ㅠㅠ 곰탱이가 와서 한 창원사람과 부산사람의 중구 여행!... 서울에서 케텍타구 오랬더니 갑자기 잠실에 볼일이있다고 굳이 수서가서 SRT를 타겠다던 곰돌이 그는 딸기케익 한판을 잠실에서 사서 부산까지...,2021. 8. 9.
"[대구]여행, 여행코스, 여행지 중구 골목투어 / 2코스(근대문화골목)",있어 중구 여행 코스를 짜보았습니다. 대구 중구 여행 2코스 (근대문화골목) 계산성당 - 이상화. 서상돈 고택 - 근대문화체험관 계산예가... 또 대한민국 3대 성당에 손꼽히는데요 서울 명동성당 / 전주 전동성당 / 대구 계산성당 이라고 합니다. 안에 내부 스테인드글라스가 이쁘다고 자자했는데...,2021. 2. 20.
[新국토기행] <21> 대구 중구 - 서울신문,전통시장인 서문시장과 염매시장에 가면 다양한 먹거리를 맛볼 수 있고 동인동 찜갈비와 납작만두 등도 중구 여행의 즐거움을 더해 줄 것이다.... 서울과 수원 등에도 같은 지명이 있다. 조선시대 이래 대구 중심지의 도로로 경상감영과 대구 읍성의 남문인 영남제일관이 있었다. 종로는 진골목과...,2020. 4. 28.
울산 원도심 이야기 1. 도시재생,서울로 치면 광화문 종로 명동으로 이어지는 곳이라고 할 수있겠다 울산은 작은 서울같으니까~ (태화강 기준으로 남쪽에 위치한 남구는 서울의... 여기까지 #울산 #울산중구 #원도심 #원도심투어 #원도심도보여행 #중구여행 #중구관광 #원도심관광 #체험여행 #도보여행 #골목길투어 #도시재생...,2021. 4. 13.
울산 원도심 이야기 1. 도시재생,서울로 치면 광화문 종로 명동으로 이어지는 곳이라고 할 수있겠다 울산은 작은 서울같으니까~ (태화강 기준으로 남쪽에 위치한 남구는 서울의... 여기까지 #울산 #울산중구 #원도심 #원도심투어 #원도심도보여행 #중구여행 #중구관광 #원도심관광 #체험여행 #도보여행 #골목길투어 #도시재생...,2021. 4. 13.
[버터핑거 팬케이크] 어마어마한 크기 자이언트 엘리게이터 먹으러 다녀온 버터핑거...,#버터핑거팬케이크 #브런치 #와플 #디저트 #하겐다즈 #영업시간 #메뉴 #가격 #서울특별시 #핫플 #서울맛집 #맛집 #서울핫플 #핫플레이스 #명동맛집 #명동브런치카페 #프랜차이즈 #강남맛집 #강남브런치 #이태원 #이태원맛집 #중구 #여행 #블로그 #맛집블로거 #일상 #추천 #맛집추천 #리뷰 #중구맛집,2021. 2. 4.
"서울 호캉스 : 신라호텔서울 비지니스 디럭스룸 시티뷰 , 룸서비스 갈비반상 , 더파크뷰...",로 #신라호텔서울 #강추합니다 :3 #신라호텔서울 #신라호텔서울비지니스디럭스룸 #비지니스디럭스 #신라호텔서울비지니스디럭스 #비지니스디럭스룸 #중구호캉스 #호캉스 #서울도심호캉스 #호캉스 #신라호텔호캉스 #신라호텔 #서울여행 #중구여행 #신라호텔조식뷔페 #더파크뷰 #더파크뷰조식...,2020. 12. 27.
여행업 관련 관광진흥법 시행령이 개정됩니다.,감사합니다. #여행업 #백신여권 #여행사설립 #여행업등록 #일반여행업 #국내여행업 #국외여행업 #여행업행정사 #서울여행업 #종로여행사 #중구여행사 #건대여행사 #여행업전문행정사 #종합여행업 #국내외여행업 #여행안내업 #여행사전문행정사 #여행사설립전문행정사 #외국인환자유치업 #의료관광,2021. 8. 13.
울산 중구 역사 유적 충의사 + 구강서원,#울산시 #중구 #울산가볼만한곳 #울산중구여행 #울산여행 #울산역사기행 #울산역사유적지#울산역사 #충의사 #구강서원 네하~~~ 갑자기 심해진... 종묘는 서울에 있으니 종묘의 제사를 드리는 임시 '막사'의 의미로 종막당이라고 지은 것 같다(어디까지나 본인피셜) 해태 안녕~ 사실 해태보다는 개나...,2020. 8. 21.
인천 당일치기 꽉찬 여행코스(인천의 심장 중구),"인천 당일치기 꽉찬 여행코스 (인천의 심장 중구) 구한말 개항부터 해방 직후까지 인천 중구는 서울 못지않은 정치, 외교, 경제의 중심지였으며... 훌쩍 흐린 세월이 ㅎㅎ 감회가 새로웠어요. 하루일정으로 꽉차게 둘러보기 좋은 인천 중구 여행코스였으며, 세부적인 곳곳의 포스팅은 곧 올려볼께요 ^^",2020. 9. 5.
[울산 중구] 울산 큰 애기 웹툰,라며 책에 대한 애정을 드러내기도 했습니다 ㅎㅎ 줄거리 울산 중구 토박이인 울산 큰 애기와 서울에서 살다 온 삼돌이의 교차하는 시선으로... ㅎㅎ 아이와 함께 울산 중구 여행 가이드북으로도 좋을 거 같네요! 그 외의 울산 큰애기 스토어에서 굿즈도 판매되고 있다고 하니 같이 구경 가요!!,2021. 1. 26.
울산 가볼 만한 곳 고복수 음악관,"그러나 서울로 올라갈 여비가 없어 아버지가 잠든 틈을 타 장롱에서 60원을 꺼내 들고 무작정 서울로 올라갔다고 합니다. 그리고 1932년 전국... 함께 오실 것을 적극 추천드립니다. 울산여행하실때 , 가족여행하실때, #울산가볼만한곳, #울산중구가볼만한곳, #울산사진찍기좋은곳, #울산중구여행",2020. 11. 29.
"부산 초량이바구길, 차이나타운 신발원(주차, 맛집, 짐보관)","ㅎㅎ 서울사는 친구들은 울산에 지하철이 없다고 하면 엄청 놀란다. 지하철이 없다니 시골을 상상하더라고,, 암튼 초량이바구길은 부산역... 즐거운 부산 중구여행. 시간약속도 필요없고 보폭 맞출 필요없는 혼자여서 편한 여행을 가끔 해야겠다. 댓글과 공감은 방랑아짐의 뽈뽈거림에 큰 힘이...",2021. 4. 9.
